,country,ccode,year,protest,protestnumber,startday,startmonth,startyear,endday,endmonth,endyear,protesterviolence,participants,protesteridentity,sources,notes,protesterdemands,stateresponses,countryCode,ccYear,urbanpop,gdpgrowth,inflation,gdppercap,salariedEmployment,vulnerableEmployment
18,Canada,20,1998,0,0,,,,,,,,nan,,,,,,CAN,"CAN,1998",41.4809591707532,2.79654247993439,0.995942456658074,21024.5850687045,79.5800018310547,12.4699999988079
19,Canada,20,1999,0,0,,,,,,,,nan,,,,,,CAN,"CAN,1999",41.7863935098009,3.97048263689422,1.73484295105918,22315.2466731545,79.6399993896484,12.4500000029802
20,Canada,20,2000,1,1,22.0,2.0,2000.0,23.0,2.0,2000.0,1.0,2000,french speaking youths,"1. world briefing the new york times, february 24, 2000, thursday, late edition final, section a; page 10; column 1; foreign desk, 1058 words, compiled by joseph r. gregory;","hundreds of french speaking youths disrupted a youth conference yesterday organized by separatists in quebec city. on tuesday night some 2,000 protesters hurled snowballs and molotov cocktails at the police, injuring a policeman. many young people complain that provincial politicians spend too much time pursuing political autonomy while under financed high schools have some of the highest dropout rates in north america.","political behavior, process",ignore,CAN,"CAN,2000",42.0466483932434,4.91776274356224,2.71943995691972,24271.0020563821,80.6600036621094,11.8599998056888
21,Canada,20,2000,1,2,26.0,2.0,2000.0,26.0,2.0,2000.0,0.0,400,unspecified,"1. the washington post, indian deaths compound troubles in a canadian prairie city, steven pearlstein , washington post foreign service, february 28, 2000, monday, final edition, a section; pg. a09, 1259 words;","this protest followed multiple deaths of young indian men who were picked up by police when drunk and dropped in fields in the middle of winter and subsequently froze to death. over the weekend, 400 people about half of them white, half of them indian participated in a candlelight march of protest and solidarity through town to police headquarters.",police brutality,accomodation,CAN,"CAN,2000",42.0466483932434,4.91776274356224,2.71943995691972,24271.0020563821,80.6600036621094,11.8599998056888
22,Canada,20,2000,1,3,9.0,5.0,2000.0,9.0,5.0,2000.0,0.0,500,unspecified,"1. a crossroads in canadian health care the new york times, may 9, 2000, tuesday, late edition final, section f; page 8; column 1; health & fitness , 925 words, by james brooke ;","with other opinion polls indicating that canadians view health care as the nation s top issue, ralph klein, the popular premier of alberta, unveiled a bill in march that americans might consider cautious. after a preamble outlawing private hospitals, the bill goes on to allow overnight stays in surgical clinics. it is touching the so called third rail; it is opening up the debate on health care, mr. klein, a conservative, said on tuesday as he wearily prepared for an eighth night of protesters outside the legislature, chanting kill the bill. under the bill, expected to be passed on may 11, the government would reimburse private clinics for performing the same surgeries performed in government hospitals. at a rally tuesday night, attended by about 500 people, there were two common themes: that canada s socialized medical system had faltered because conservative governments had starved it of cash, and that private surgical clinics would open the door for the americanization of canadian health care.","political behavior, process",ignore,CAN,"CAN,2000",42.0466483932434,4.91776274356224,2.71943995691972,24271.0020563821,80.6600036621094,11.8599998056888
23,Canada,20,2000,1,4,16.0,6.0,2000.0,16.0,6.0,2000.0,1.0,10,anti poverty protesters,"1. world briefing the new york times, june 16, 2000, friday, late edition final, section a; page 6; column 4; foreign desk, 988 words, compiled by terence neilan;","anti poverty protesters fought with the police outside the ontario legislature in toronto. several people were injured and at least three were arrested. protesting the austerity policies of ontario s conservative government, demonstrators, some obscuring their faces with bandannas, gas masks or helmets, attacked the police with rocks, bricks and paint bombs. the police responded with pepper spray and horseback charges.","political behavior, process",crowd dispersal-arrests,CAN,"CAN,2000",42.0466483932434,4.91776274356224,2.71943995691972,24271.0020563821,80.6600036621094,11.8599998056888
24,Canada,20,2001,0,0,,,,,,,,nan,,,,,,CAN,"CAN,2001",42.2473079602908,1.40552758872816,2.52512013979907,23822.0601178964,81.2699966430664,11.4499996900558
25,Canada,20,2002,0,0,,,,,,,,nan,,,,,,CAN,"CAN,2002",42.4833017799477,3.42214617132493,2.25839440940856,24255.3385818322,81.5999984741211,11.3699997663498
26,Canada,20,2003,1,1,3.0,5.0,2003.0,3.0,5.0,2003.0,1.0,250,crab fishermen,"1. canada fishermen protest change in government quotas the new york times, may 11, 2003 sunday, section 1; column 1; foreign desk; pg. 3, 905 words, by clifford krauss;","the canadian flags that fly above the crab boats have been hoisted upside down, and some are defaced with swastikas. graffiti compares the federal fisheries minister to saddam hussein. four large fishing boats are smoldering snarls of metal engines and wooden hulls, and a processing plant and a government warehouse are charred wrecks. the ruins are the work of 250 crab fishermen who went on a rampage on may 3 to protest a sudden change in federal policy that transferred some of their crab quotas to neighboring lobstermen and to an indigenous group. the rebellion is seen here as something akin to the boston tea party, against a heavy handed government in ottawa. now the shippagan crab fishermen are refusing to leave port and threaten to boycott the entire two month season that was to begin this week. processing plants in the region are shutting down, throwing thousands of people out of work as far away as the gaspe peninsula in quebec and putting 90 million in snow crab exports in jeopardy.","political behavior, process",ignore,CAN,"CAN,2003",42.8006510422757,3.81109015282463,2.75856321360112,28300.4630963791,81.1100006103516,11.8300003111363
27,Canada,20,2004,0,0,,,,,,,,nan,,,,,,CAN,"CAN,2004",43.1081829724531,3.91402878219242,1.85725871857261,32143.6814078562,80.9499969482422,11.7799998447299
